customer_id,first_name,last_name,email,date_of_birth,city,segment
47,Sophia,Smith,user47@example.com,1976-01-01,Durban,Student
48,Mason,Brown,user48@example.com,1985-01-01,Cape Town,HNW
49,Ava,Davis,user49@example.com,1995-01-01,Pretoria,HNW
50,Ava,Miller,user50@example.com,1960-01-01,Durban,Mass
51,Mason,Davis,user51@example.com,1967-01-01,Durban,Student
52,Ava,Brown,user52@example.com,1994-01-01,Cape Town,Student
53,Noah,Brown,user53@example.com,1974-01-01,Cape Town,Mass
54,Olivia,Davis,user54@example.com,1981-01-01,Cape Town,Student
55,Mason,Smith,user55@example.com,1973-01-01,Johannesburg,Student
56,Olivia,Jones,user56@example.com,1985-01-01,Cape Town,Affluent
57,Sophia,Brown,user57@example.com,1987-01-01,Durban,HNW
58,Liam,Davis,user58@example.com,1982-01-01,Cape Town,Student
59,Noah,Davis,user59@example.com,1973-01-01,Durban,Affluent
60,Ethan,Williams,user60@example.com,1983-01-01,Pretoria,HNW
61,Noah,Jones,user61@example.com,1961-01-01,Johannesburg,Mass
62,Mason,Miller,user62@example.com,1985-01-01,Pretoria,Affluent
63,Ethan,Smith,user63@example.com,1973-01-01,Pretoria,Affluent
64,Liam,Miller,user64@example.com,1966-01-01,Durban,HNW
65,Mason,Jones,user65@example.com,1962-01-01,Pretoria,Mass
66,Emma,Jones,user66@example.com,1982-01-01,Durban,Affluent
67,Olivia,Jones,user67@example.com,1977-01-01,Cape Town,Student
68,Liam,Miller,user68@example.com,1997-01-01,Cape Town,Student
69,Olivia,Jones,user69@example.com,1994-01-01,Durban,Student
70,Ava,Davis,user70@example.com,1974-01-01,Cape Town,Mass
71,Emma,Miller,user71@example.com,1984-01-01,Johannesburg,Affluent
72,Emma,Jones,user72@example.com,1996-01-01,Pretoria,Student
73,Liam,Davis,user73@example.com,1987-01-01,Johannesburg,Mass
74,Emma,Williams,user74@example.com,1969-01-01,Pretoria,Student
75,Ethan,Jones,user75@example.com,1998-01-01,Cape Town,HNW
76,Emma,Miller,user76@example.com,1976-01-01,Johannesburg,Affluent
77,Olivia,Brown,user77@example.com,1998-01-01,Cape Town,Affluent
78,Olivia,Jones,user78@example.com,1981-01-01,Pretoria,Mass
79,Mason,Brown,user79@example.com,1985-01-01,Durban,Mass
80,Olivia,Davis,user80@example.com,1984-01-01,Durban,Affluent
81,Mason,Williams,user81@example.com,1976-01-01,Johannesburg,Student
82,Olivia,Smith,user82@example.com,1972-01-01,Cape Town,Student
83,Ethan,Williams,user83@example.com,1979-01-01,Cape Town,HNW
84,Sophia,Jones,user84@example.com,1984-01-01,Johannesburg,Student
85,Mason,Brown,user85@example.com,1963-01-01,Durban,Mass
86,Noah,Brown,user86@example.com,1969-01-01,Pretoria,Mass
87,Ava,Miller,user87@example.com,1962-01-01,Johannesburg,Student
88,Liam,Brown,user88@example.com,1977-01-01,Pretoria,Mass
89,Olivia,Miller,user89@example.com,1995-01-01,Durban,Affluent
90,Emma,Davis,user90@example.com,1981-01-01,Cape Town,Affluent
91,Sophia,Smith,user91@example.com,1993-01-01,Durban,Student
92,Olivia,Jones,user92@example.com,1967-01-01,Johannesburg,Affluent
93,Emma,Miller,user93@example.com,1999-01-01,Cape Town,Affluent
94,Ava,Smith,user94@example.com,1978-01-01,Johannesburg,HNW
95,Ava,Brown,user95@example.com,1996-01-01,Johannesburg,HNW
96,Ava,Brown,user96@example.com,1965-01-01,Durban,Affluent
97,Emma,Smith,user97@example.com,1985-01-01,Johannesburg,Student
98,Olivia,Brown,user98@example.com,1993-01-01,Durban,HNW
99,Ava,Davis,user99@example.com,1965-01-01,Cape Town,Mass
100,Ethan,Davis,user100@example.com,1996-01-01,Durban,Mass
101,Mason,Smith,user101@example.com,1992-01-01,Cape Town,Mass
102,Emma,Miller,user102@example.com,1981-01-01,Durban,Student
103,Emma,Miller,user103@example.com,1980-01-01,Pretoria,Affluent
104,Olivia,Smith,user104@example.com,1965-01-01,Pretoria,Mass
105,Emma,Miller,user105@example.com,1965-01-01,Johannesburg,Student
106,Emma,Miller,user106@example.com,1963-01-01,Durban,HNW
107,Ava,Davis,user107@example.com,1989-01-01,Durban,Affluent
108,Olivia,Miller,user108@example.com,1970-01-01,Cape Town,HNW
109,Ava,Williams,user109@example.com,1989-01-01,Johannesburg,Student
110,Mason,Jones,user110@example.com,1990-01-01,Durban,Mass
111,Sophia,Brown,user111@example.com,1983-01-01,Johannesburg,Mass
112,Mason,Williams,user112@example.com,1968-01-01,Pretoria,Student
113,Sophia,Miller,user113@example.com,1962-01-01,Durban,Mass
114,Ava,Davis,user114@example.com,1990-01-01,Durban,Affluent
115,Mason,Smith,user115@example.com,1999-01-01,Johannesburg,Student
116,Olivia,Miller,user116@example.com,1996-01-01,Durban,HNW
117,Liam,Davis,user117@example.com,1995-01-01,Johannesburg,Student
118,Ava,Jones,user118@example.com,1983-01-01,Durban,Affluent
119,Sophia,Miller,user119@example.com,1990-01-01,Cape Town,Affluent
120,Ethan,Smith,user120@example.com,1965-01-01,Johannesburg,Student
121,Sophia,Davis,user121@example.com,1961-01-01,Durban,Student
122,Ethan,Davis,user122@example.com,1979-01-01,Pretoria,Mass
123,Emma,Davis,user123@example.com,1987-01-01,Durban,Affluent
124,Mason,Jones,user124@example.com,1970-01-01,Pretoria,Student
125,Ethan,Miller,user125@example.com,1963-01-01,Pretoria,Student
126,Sophia,Jones,user126@example.com,1974-01-01,Cape Town,Affluent
127,Emma,Brown,user127@example.com,1965-01-01,Johannesburg,Student
128,Liam,Brown,user128@example.com,1989-01-01,Durban,Mass
129,Olivia,Miller,user129@example.com,1997-01-01,Cape Town,Affluent
130,Olivia,Jones,user130@example.com,1961-01-01,Durban,Mass
131,Olivia,Smith,user131@example.com,1974-01-01,Pretoria,Mass
132,Ethan,Davis,user132@example.com,1970-01-01,Johannesburg,Mass
133,Liam,Davis,user133@example.com,1967-01-01,Durban,Mass
134,Ethan,Miller,user134@example.com,1985-01-01,Durban,Affluent
135,Mason,Brown,user135@example.com,1964-01-01,Pretoria,Mass
136,Ethan,Brown,user136@example.com,1965-01-01,Durban,Mass
137,Liam,Davis,user137@example.com,1985-01-01,Durban,Student
138,Liam,Miller,user138@example.com,1963-01-01,Pretoria,Affluent
139,Mason,Jones,user139@example.com,1978-01-01,Cape Town,Affluent
140,Liam,Brown,user140@example.com,1979-01-01,Pretoria,HNW
141,Sophia,Jones,user141@example.com,1992-01-01,Cape Town,Affluent
142,Liam,Brown,user142@example.com,1979-01-01,Johannesburg,Affluent
143,Olivia,Brown,user143@example.com,1971-01-01,Cape Town,HNW
144,Sophia,Williams,user144@example.com,1960-01-01,Cape Town,Affluent
145,Sophia,Brown,user145@example.com,1985-01-01,Johannesburg,Affluent
146,Mason,Smith,user146@example.com,1973-01-01,Cape Town,Affluent
147,Noah,Miller,user147@example.com,1997-01-01,Pretoria,Affluent
148,Noah,Miller,user148@example.com,1996-01-01,Cape Town,HNW
149,Liam,Jones,user149@example.com,1970-01-01,Johannesburg,Affluent
150,Sophia,Brown,user150@example.com,1995-01-01,Pretoria,Affluent
151,Noah,Smith,user151@example.com,1972-01-01,Johannesburg,HNW
152,Noah,Jones,user152@example.com,1962-01-01,Johannesburg,Student
153,Liam,Williams,user153@example.com,1992-01-01,Durban,Mass
154,Noah,Jones,user154@example.com,1965-01-01,Durban,Student
155,Ethan,Jones,user155@example.com,1969-01-01,Johannesburg,HNW
156,Emma,Brown,user156@example.com,1964-01-01,Johannesburg,Mass
157,Mason,Williams,user157@example.com,1982-01-01,Johannesburg,HNW
158,Emma,Jones,user158@example.com,1969-01-01,Durban,HNW
159,Liam,Smith,user159@example.com,1961-01-01,Durban,Affluent
160,Olivia,Smith,user160@example.com,1972-01-01,Cape Town,Mass
161,Mason,Miller,user161@example.com,1999-01-01,Cape Town,Affluent
162,Liam,Williams,user162@example.com,1961-01-01,Johannesburg,Mass
163,Sophia,Williams,user163@example.com,1979-01-01,Pretoria,HNW
164,Olivia,Miller,user164@example.com,1960-01-01,Pretoria,HNW
165,Emma,Jones,user165@example.com,1996-01-01,Durban,Student
166,Liam,Williams,user166@example.com,1968-01-01,Durban,Mass
167,Sophia,Smith,user167@example.com,1976-01-01,Durban,Affluent
168,Mason,Smith,user168@example.com,1968-01-01,Johannesburg,Student
169,Mason,Brown,user169@example.com,1970-01-01,Pretoria,Student
170,Ava,Williams,user170@example.com,1974-01-01,Cape Town,Student
171,Sophia,Jones,user171@example.com,1983-01-01,Johannesburg,Affluent
172,Ethan,Miller,user172@example.com,1997-01-01,Cape Town,Student
173,Noah,Miller,user173@example.com,1994-01-01,Cape Town,Affluent
174,Olivia,Jones,user174@example.com,1989-01-01,Johannesburg,Student
175,Sophia,Davis,user175@example.com,1990-01-01,Cape Town,Affluent
176,Ava,Brown,user176@example.com,1964-01-01,Pretoria,HNW
177,Noah,Miller,user177@example.com,1973-01-01,Cape Town,HNW
178,Noah,Williams,user178@example.com,1970-01-01,Pretoria,HNW
179,Liam,Brown,user179@example.com,1968-01-01,Pretoria,HNW
180,Noah,Williams,user180@example.com,1993-01-01,Pretoria,HNW
181,Ethan,Smith,user181@example.com,1971-01-01,Durban,Student
182,Mason,Brown,user182@example.com,1994-01-01,Cape Town,Student
183,Ava,Miller,user183@example.com,1994-01-01,Johannesburg,Student
184,Noah,Brown,user184@example.com,1960-01-01,Johannesburg,Affluent
185,Liam,Brown,user185@example.com,1999-01-01,Cape Town,Affluent
186,Ethan,Brown,user186@example.com,1981-01-01,Durban,Affluent
187,Emma,Davis,user187@example.com,1988-01-01,Durban,Affluent
188,Mason,Brown,user188@example.com,1967-01-01,Pretoria,HNW
189,Mason,Williams,user189@example.com,1970-01-01,Cape Town,HNW
190,Ava,Smith,user190@example.com,1996-01-01,Cape Town,HNW
191,Mason,Jones,user191@example.com,1973-01-01,Johannesburg,Mass
192,Noah,Brown,user192@example.com,1989-01-01,Cape Town,Student
193,Liam,Miller,user193@example.com,1994-01-01,Durban,Affluent
194,Mason,Brown,user194@example.com,1980-01-01,Cape Town,Affluent
195,Mason,Miller,user195@example.com,1996-01-01,Johannesburg,HNW
196,Emma,Williams,user196@example.com,1964-01-01,Pretoria,Affluent
197,Emma,Miller,user197@example.com,1978-01-01,Johannesburg,Affluent
198,Olivia,Jones,user198@example.com,1973-01-01,Johannesburg,Student
199,Ethan,Smith,user199@example.com,1985-01-01,Pretoria,HNW
200,Noah,Miller,user200@example.com,1963-01-01,Johannesburg,Student
201,Mason,Miller,user201@example.com,1984-01-01,Johannesburg,Mass
202,Sophia,Smith,user202@example.com,1984-01-01,Cape Town,Mass
203,Mason,Jones,user203@example.com,1977-01-01,Cape Town,Mass
204,Liam,Brown,user204@example.com,1999-01-01,Pretoria,HNW
205,Olivia,Miller,user205@example.com,1967-01-01,Cape Town,Affluent
206,Ethan,Smith,user206@example.com,1998-01-01,Cape Town,HNW
207,Sophia,Williams,user207@example.com,1999-01-01,Johannesburg,HNW
208,Olivia,Smith,user208@example.com,1973-01-01,Durban,Affluent
209,Ava,Williams,user209@example.com,1991-01-01,Cape Town,Student
210,Ethan,Jones,user210@example.com,1997-01-01,Durban,Mass
211,Mason,Brown,user211@example.com,1992-01-01,Cape Town,Student
212,Mason,Smith,user212@example.com,1982-01-01,Cape Town,Mass
213,Ethan,Davis,user213@example.com,1974-01-01,Pretoria,HNW
214,Mason,Miller,user214@example.com,1992-01-01,Pretoria,Mass
215,Noah,Jones,user215@example.com,1984-01-01,Pretoria,HNW
216,Ethan,Smith,user216@example.com,1976-01-01,Durban,Student
217,Olivia,Miller,user217@example.com,1992-01-01,Johannesburg,HNW
218,Ethan,Smith,user218@example.com,1961-01-01,Cape Town,Student
219,Sophia,Williams,user219@example.com,1973-01-01,Cape Town,Affluent
220,Mason,Smith,user220@example.com,1999-01-01,Cape Town,Affluent
221,Noah,Davis,user221@example.com,1999-01-01,Durban,Affluent
222,Noah,Smith,user222@example.com,1998-01-01,Pretoria,HNW
223,Ava,Smith,user223@example.com,1965-01-01,Johannesburg,Affluent
224,Olivia,Davis,user224@example.com,1965-01-01,Durban,Mass
225,Emma,Jones,user225@example.com,1962-01-01,Pretoria,Student
226,Emma,Smith,user226@example.com,1966-01-01,Durban,Student
227,Ethan,Davis,user227@example.com,1967-01-01,Johannesburg,Mass
228,Ava,Miller,user228@example.com,1974-01-01,Pretoria,HNW
229,Liam,Williams,user229@example.com,1988-01-01,Durban,HNW
230,Ethan,Williams,user230@example.com,1992-01-01,Johannesburg,Student
231,Ava,Smith,user231@example.com,1989-01-01,Cape Town,Affluent
232,Olivia,Jones,user232@example.com,1998-01-01,Johannesburg,HNW
233,Olivia,Jones,user233@example.com,1986-01-01,Cape Town,HNW
234,Olivia,Miller,user234@example.com,1995-01-01,Durban,Mass
235,Olivia,Smith,user235@example.com,1988-01-01,Pretoria,Mass
236,Olivia,Williams,user236@example.com,1997-01-01,Pretoria,Affluent
237,Ava,Jones,user237@example.com,1992-01-01,Durban,HNW
238,Ava,Smith,user238@example.com,1996-01-01,Pretoria,HNW
239,Noah,Jones,user239@example.com,1986-01-01,Pretoria,Mass
240,Sophia,Davis,user240@example.com,1992-01-01,Cape Town,HNW
241,Emma,Jones,user241@example.com,1963-01-01,Durban,Student
242,Mason,Williams,user242@example.com,1981-01-01,Johannesburg,Mass
243,Olivia,Brown,user243@example.com,1961-01-01,Cape Town,Affluent
244,Liam,Miller,user244@example.com,1969-01-01,Durban,Mass
245,Mason,Miller,user245@example.com,1964-01-01,Cape Town,HNW
246,Ava,Williams,user246@example.com,1969-01-01,Johannesburg,Affluent
247,Liam,Jones,user247@example.com,1992-01-01,Johannesburg,Mass
248,Liam,Smith,user248@example.com,1997-01-01,Durban,Student
249,Liam,Jones,user249@example.com,1972-01-01,Johannesburg,Student
250,Noah,Williams,user250@example.com,1990-01-01,Cape Town,Mass
251,Ava,Miller,user251@example.com,1995-01-01,Johannesburg,Student
252,Liam,Jones,user252@example.com,1983-01-01,Cape Town,Student
253,Olivia,Miller,user253@example.com,1974-01-01,Cape Town,Student
254,Ethan,Smith,user254@example.com,1988-01-01,Johannesburg,Affluent
255,Liam,Miller,user255@example.com,1967-01-01,Durban,Student
256,Noah,Miller,user256@example.com,1964-01-01,Pretoria,Student
257,Mason,Brown,user257@example.com,1988-01-01,Johannesburg,Student
258,Ava,Brown,user258@example.com,1963-01-01,Cape Town,Affluent
259,Sophia,Davis,user259@example.com,1971-01-01,Cape Town,Mass
260,Noah,Brown,user260@example.com,1961-01-01,Johannesburg,HNW
261,Liam,Miller,user261@example.com,1986-01-01,Durban,Student
262,Ava,Williams,user262@example.com,1990-01-01,Durban,Mass
263,Ethan,Miller,user263@example.com,1995-01-01,Cape Town,Student
264,Liam,Williams,user264@example.com,1995-01-01,Cape Town,Affluent
265,Noah,Williams,user265@example.com,1985-01-01,Durban,Mass
266,Emma,Brown,user266@example.com,1986-01-01,Pretoria,Affluent
267,Olivia,Jones,user267@example.com,1964-01-01,Johannesburg,Student
268,Sophia,Smith,user268@example.com,1979-01-01,Cape Town,Student
269,Mason,Brown,user269@example.com,1970-01-01,Cape Town,Affluent
270,Noah,Brown,user270@example.com,1969-01-01,Durban,HNW
271,Ava,Jones,user271@example.com,1999-01-01,Johannesburg,Affluent
272,Sophia,Smith,user272@example.com,1997-01-01,Durban,Student
273,Sophia,Miller,user273@example.com,1965-01-01,Johannesburg,Affluent
274,Sophia,Davis,user274@example.com,1967-01-01,Johannesburg,HNW
275,Liam,Davis,user275@example.com,1982-01-01,Johannesburg,Affluent
276,Olivia,Miller,user276@example.com,1985-01-01,Cape Town,HNW
277,Liam,Brown,user277@example.com,1971-01-01,Pretoria,HNW
278,Ava,Smith,user278@example.com,1985-01-01,Durban,Affluent
279,Liam,Brown,user279@example.com,1972-01-01,Pretoria,Affluent
280,Emma,Williams,user280@example.com,1999-01-01,Durban,Mass
281,Olivia,Brown,user281@example.com,1977-01-01,Johannesburg,Student
282,Olivia,Brown,user282@example.com,1984-01-01,Cape Town,HNW
283,Ava,Miller,user283@example.com,1992-01-01,Pretoria,Mass
284,Mason,Miller,user284@example.com,1999-01-01,Cape Town,Affluent
285,Emma,Miller,user285@example.com,1971-01-01,Durban,Student
286,Noah,Davis,user286@example.com,1995-01-01,Cape Town,Mass
287,Liam,Williams,user287@example.com,1963-01-01,Cape Town,HNW
288,Ethan,Miller,user288@example.com,1964-01-01,Pretoria,Mass
289,Liam,Smith,user289@example.com,1996-01-01,Johannesburg,HNW
290,Sophia,Davis,user290@example.com,1967-01-01,Cape Town,Affluent
291,Liam,Jones,user291@example.com,1987-01-01,Johannesburg,Student
292,Noah,Smith,user292@example.com,1990-01-01,Durban,Student
293,Liam,Smith,user293@example.com,1968-01-01,Cape Town,Student
294,Emma,Miller,user294@example.com,1988-01-01,Pretoria,Affluent
295,Emma,Jones,user295@example.com,1973-01-01,Durban,HNW
296,Olivia,Jones,user296@example.com,1999-01-01,Durban,Affluent
297,Ava,Davis,user297@example.com,1981-01-01,Pretoria,Student
298,Mason,Jones,user298@example.com,1970-01-01,Cape Town,Affluent
299,Ethan,Williams,user299@example.com,1982-01-01,Cape Town,Affluent
300,Sophia,Miller,user300@example.com,1960-01-01,Durban,Affluent
301,Liam,Jones,user301@example.com,1996-01-01,Cape Town,HNW
302,Liam,Davis,user302@example.com,1980-01-01,Johannesburg,Mass
303,Noah,Williams,user303@example.com,1985-01-01,Pretoria,Mass
304,Ava,Brown,user304@example.com,1995-01-01,Johannesburg,Affluent
305,Emma,Brown,user305@example.com,1982-01-01,Cape Town,Mass
306,Ethan,Williams,user306@example.com,1960-01-01,Durban,Mass
307,Olivia,Davis,user307@example.com,1999-01-01,Pretoria,Affluent
308,Emma,Williams,user308@example.com,1974-01-01,Cape Town,Affluent
309,Sophia,Miller,user309@example.com,1980-01-01,Cape Town,Student
310,Ava,Miller,user310@example.com,1968-01-01,Durban,Mass
311,Sophia,Brown,user311@example.com,1968-01-01,Durban,HNW
312,Mason,Jones,user312@example.com,1969-01-01,Johannesburg,Affluent
313,Olivia,Davis,user313@example.com,1985-01-01,Pretoria,Student
314,Mason,Brown,user314@example.com,1994-01-01,Pretoria,HNW
315,Noah,Jones,user315@example.com,1984-01-01,Durban,Mass
316,Sophia,Jones,user316@example.com,1985-01-01,Johannesburg,Student
317,Noah,Miller,user317@example.com,1970-01-01,Pretoria,Affluent
318,Liam,Smith,user318@example.com,1997-01-01,Durban,HNW
319,Mason,Smith,user319@example.com,1961-01-01,Cape Town,Affluent
320,Ava,Williams,user320@example.com,1966-01-01,Pretoria,Mass
321,Sophia,Miller,user321@example.com,1977-01-01,Johannesburg,HNW
322,Ethan,Jones,user322@example.com,1986-01-01,Johannesburg,Mass
323,Olivia,Davis,user323@example.com,1993-01-01,Johannesburg,Mass
324,Emma,Smith,user324@example.com,1986-01-01,Cape Town,Student
325,Ava,Jones,user325@example.com,1976-01-01,Pretoria,Affluent
326,Ava,Smith,user326@example.com,1983-01-01,Pretoria,HNW
327,Noah,Smith,user327@example.com,1984-01-01,Cape Town,Mass
328,Mason,Smith,user328@example.com,1966-01-01,Pretoria,Mass
329,Sophia,Davis,user329@example.com,1965-01-01,Cape Town,HNW
330,Sophia,Miller,user330@example.com,1983-01-01,Cape Town,Mass
331,Liam,Davis,user331@example.com,1992-01-01,Cape Town,Student
332,Liam,Brown,user332@example.com,1988-01-01,Johannesburg,Student
333,Olivia,Jones,user333@example.com,1981-01-01,Pretoria,Student
334,Noah,Miller,user334@example.com,1985-01-01,Cape Town,Student
335,Ava,Miller,user335@example.com,1987-01-01,Pretoria,Mass
336,Sophia,Miller,user336@example.com,1980-01-01,Johannesburg,HNW
337,Ethan,Miller,user337@example.com,1966-01-01,Cape Town,HNW
338,Noah,Davis,user338@example.com,1976-01-01,Durban,HNW
339,Olivia,Miller,user339@example.com,1979-01-01,Johannesburg,HNW
340,Olivia,Williams,user340@example.com,1979-01-01,Durban,Affluent
341,Noah,Jones,user341@example.com,1981-01-01,Pretoria,HNW
342,Olivia,Miller,user342@example.com,1987-01-01,Pretoria,Affluent
343,Noah,Jones,user343@example.com,1999-01-01,Johannesburg,Affluent
344,Emma,Williams,user344@example.com,1966-01-01,Pretoria,Student
345,Noah,Williams,user345@example.com,1960-01-01,Durban,Affluent
346,Mason,Jones,user346@example.com,1991-01-01,Cape Town,Mass
347,Noah,Smith,user347@example.com,1972-01-01,Cape Town,Affluent
348,Olivia,Brown,user348@example.com,1989-01-01,Cape Town,Student
349,Sophia,Smith,user349@example.com,1982-01-01,Johannesburg,Affluent
350,Mason,Smith,user350@example.com,1978-01-01,Pretoria,Mass
351,Olivia,Davis,user351@example.com,1991-01-01,Durban,Mass
352,Liam,Smith,user352@example.com,1989-01-01,Pretoria,Mass
353,Liam,Miller,user353@example.com,1988-01-01,Pretoria,Student
354,Sophia,Davis,user354@example.com,1988-01-01,Pretoria,Student
355,Sophia,Davis,user355@example.com,1989-01-01,Cape Town,HNW
356,Mason,Williams,user356@example.com,1975-01-01,Durban,Student
357,Emma,Smith,user357@example.com,1999-01-01,Durban,Mass
358,Sophia,Williams,user358@example.com,1978-01-01,Pretoria,Mass
359,Liam,Jones,user359@example.com,1977-01-01,Cape Town,Student
360,Noah,Brown,user360@example.com,1960-01-01,Cape Town,Affluent
361,Olivia,Davis,user361@example.com,1973-01-01,Durban,Student
362,Liam,Jones,user362@example.com,1961-01-01,Cape Town,Student
363,Liam,Jones,user363@example.com,1987-01-01,Cape Town,Mass
364,Emma,Miller,user364@example.com,1989-01-01,Cape Town,HNW
365,Mason,Brown,user365@example.com,1997-01-01,Johannesburg,Mass
366,Mason,Jones,user366@example.com,1963-01-01,Pretoria,HNW
367,Ava,Jones,user367@example.com,1960-01-01,Durban,Mass
368,Emma,Brown,user368@example.com,1967-01-01,Durban,Student
369,Noah,Brown,user369@example.com,1988-01-01,Johannesburg,Mass
370,Mason,Jones,user370@example.com,1998-01-01,Pretoria,Mass
371,Olivia,Brown,user371@example.com,1962-01-01,Durban,Mass
372,Sophia,Jones,user372@example.com,1991-01-01,Cape Town,Student
373,Emma,Jones,user373@example.com,1969-01-01,Durban,Student
374,Sophia,Miller,user374@example.com,1969-01-01,Cape Town,Student
375,Liam,Smith,user375@example.com,1978-01-01,Johannesburg,Student
376,Olivia,Jones,user376@example.com,1993-01-01,Cape Town,HNW
377,Olivia,Williams,user377@example.com,1992-01-01,Durban,HNW
378,Liam,Davis,user378@example.com,1982-01-01,Durban,Affluent
379,Emma,Smith,user379@example.com,1987-01-01,Durban,Student
380,Liam,Smith,user380@example.com,1991-01-01,Johannesburg,HNW
381,Sophia,Smith,user381@example.com,1966-01-01,Johannesburg,Mass
382,Ava,Miller,user382@example.com,1988-01-01,Pretoria,Student
383,Olivia,Jones,user383@example.com,1967-01-01,Durban,Affluent
384,Ethan,Miller,user384@example.com,1960-01-01,Cape Town,Affluent
385,Ethan,Jones,user385@example.com,1962-01-01,Johannesburg,Affluent
386,Sophia,Miller,user386@example.com,1983-01-01,Durban,Mass
387,Noah,Miller,user387@example.com,1982-01-01,Durban,HNW
388,Mason,Davis,user388@example.com,1967-01-01,Johannesburg,Mass
389,Liam,Williams,user389@example.com,1996-01-01,Pretoria,Student
390,Liam,Miller,user390@example.com,1962-01-01,Johannesburg,Affluent
391,Noah,Davis,user391@example.com,1992-01-01,Johannesburg,Mass
392,Noah,Brown,user392@example.com,1987-01-01,Cape Town,Mass
393,Sophia,Williams,user393@example.com,1967-01-01,Cape Town,HNW
394,Sophia,Miller,user394@example.com,1993-01-01,Pretoria,HNW
395,Noah,Smith,user395@example.com,1994-01-01,Durban,Affluent
396,Olivia,Brown,user396@example.com,1991-01-01,Johannesburg,Mass
397,Sophia,Brown,user397@example.com,1983-01-01,Pretoria,Mass
398,Ava,Davis,user398@example.com,1973-01-01,Cape Town,HNW
399,Sophia,Brown,user399@example.com,1991-01-01,Johannesburg,Mass
400,Liam,Williams,user400@example.com,1975-01-01,Durban,Mass
401,Sophia,Miller,user401@example.com,1963-01-01,Cape Town,Mass
402,Olivia,Miller,user402@example.com,1996-01-01,Cape Town,HNW
403,Noah,Smith,user403@example.com,1980-01-01,Cape Town,Affluent
404,Liam,Davis,user404@example.com,1973-01-01,Pretoria,Student
405,Sophia,Smith,user405@example.com,1990-01-01,Durban,Affluent
406,Olivia,Brown,user406@example.com,1977-01-01,Johannesburg,Student
407,Ava,Smith,user407@example.com,1966-01-01,Pretoria,Mass
408,Sophia,Williams,user408@example.com,1969-01-01,Pretoria,Affluent
